Code,forPNG,Latin name,Morphotyper,CodeMJ,Subfamily,Description,Note
ACRO 001,TRUE,"Acropyga ambigua Emery, 1922",Petr 2015/04,,Formicinae,"small yeallow ant resmebling Pseudolasius but 11 segm-antens and tiny dotty eyes, yellow color and this species uneven top of thorax (diff. from A.pallida)",
ACRO 002,FALSE,"Acropyga 	acutiventris Roger, 1862",Petr 2015/04,,Formicinae,"much larger and darker (brown) than ACRO001, resembling more Pseudolasius sp.1, but larger eyes touching head margins from frontal vie and less curved top of head",
ADEL 001,FALSE,"Adelomyrmex biroi Emery, 1897",Petr 2017/06,,Myrmicinae,"rare sp., in litter, reminds Carebara (tiny eye, small size, 2segm club), but has clypeal projection with median hair as Solenopisis, dot pits over whole body and head",
AENI 001,FALSE,Aenictus sp. 1,,,Dorylinae,"yellowish slender ants with long legs and antennes, about 3mm, two-segmented petiolus as in Myrmicinae but only 10-segm antens and blind, smooth except of lateral sides of propodeum",
AENI 002,TRUE,"Aenictus huonicus Wilson, 1964",Petr 2014/03,,Dorylinae,"compare to sp. 001 is dark brown, a lowland sp."", abit more robust body and petiolus (not so slender)","it fits very well with type photos incl. colout pattern, and also fits well with descr. in Antwiki (x dif. from related sp.)"
AENI 003,TRUE,Aenictus nesiotis Wheeler & Chapman 1930,Petr 2015/03,,Dorylinae,"dark brown-black Aenictus with sharp-cornered propodeum and fine dots all over the head, thorax and petiolus and postpet, corners not well visible from above (short) - fits well with A. nesiotis type photos",
AENI 004,TRUE,Aenictus nganduensis Wilson 1964,Petr 2017/07,,Dorylinae,"similar to sp. 1 but darker (brown) color, dots are present also on petiolus and postpetiolus and porpodeal corner is much sharper, close also to A. exilis but dots present also on thorax dorsally and porp. a bit sharper (these traits match with nganduensis)",
AMBL 001,FALSE,Amblyopone australis Erichson 1842,Petr 2014/03,,Amblyoponinae,good fit with australis on antweb,Yawan
ANCY 001,FALSE,"Ancyridris sp. nov. 1 aff. polyrhachioides Wheeler, 1935",Petr,,Myrmicinae,"black large ant resembling Pheidole but with long curved spines on propodeum, two spines on petiolus and sharp postpetiolus, compare to L. rupicapra it has more liny sides of thorax and sharper postpetiolus and has much larger size (head width > 1mm), quite good fit with museum photos but our spec. have also more liny sides of thorax","M. Leponce, 1200 m., Bob Taylor thinks is new sp."
ANCY 002,FALSE,"Ancyridris sp. nov. 2 aff. polyrhachioides Wheeler, 1935",Petr,,Myrmicinae,"very similar to 001 but smaller size and postpetiolus not sharp but rounded with two conspicious hairs, head smooth with almost no lines, spines on propodeum slightly shorter and sharper","M. Leponce, 1200 m., in shape of petiolus and spines resembles more rupicapra-  however not redish colour and smoother head and not so sharp propodal spines, Bob Talor regards it still closer to polyrh. and new sp."
