"Plot","plot.stratum","trunk_mean","Lianas.n_mean","dw.number_mean","dw.percent_mean","height_mean","Block","Forest","Caco","elevation","slope.var"
"KP1-S1","KP1-S1 CA",86.9166666666667,3,0.5,5,13.8333333333333,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN",31.6666666666667,2,0.533333333333333,6,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S2","KP1-S2 CA",66.3333333333333,3.58333333333333,0.833333333333333,5.41666666666667,16.8333333333333,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN",24.1538461538462,1.15384615384615,0.615384615384615,8.46153846153846,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S3","KP1-S3 CA",151.833333333333,1.45454545454545,0.25,7.08333333333333,16.9166666666667,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN",33.6875,0.533333333333333,0.0666666666666667,5.3125,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP2-S1","KP2-S1 CA",289.090909090909,7.54545454545455,4.45454545454545,24.0909090909091,21,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 UN",28.2857142857143,0.857142857142857,1.30769230769231,11.1538461538462,1.5,"KP2","Kausi Primary",55,195,5.43525
"KP2-S2","KP2-S2 CA",93.7777777777778,3.25,1.22222222222222,10,15.5,"KP2","Kausi Primary",59.6,195,7.43525
"KP2-S2","KP2-S2 UN",25.2666666666667,1.46666666666667,0.933333333333333,10,1.5,"KP2","Kausi Primary",59.6,195,7.43525
"KP2-S3","KP2-S3 CA",175.090909090909,7,2.09090909090909,9.27272727272727,18.1818181818182,"KP2","Kausi Primary",59,195,3.68525
"KP2-S3","KP2-S3 UN",35.5,3.0625,1.0625,7.5625,1.5,"KP2","Kausi Primary",59,195,3.68525
"KP4-S1","KP4-S1 CA",93.6923076923077,2.53846153846154,0.846153846153846,8.07692307692308,16.6153846153846,"KP4","Kausi Primary",59.6,174,2.55908
"KP4-S1","KP4-S1 UN",33.7857142857143,0.714285714285714,0.285714285714286,8.57142857142857,1.5,"KP4","Kausi Primary",59.6,174,2.55908
