"Block","Plot","Subplot","Stratum","Code","Forest","Season","Abundance","occupancy"
"KP1","KP1-S1","A1","CA","KP1-S1-A1-CA","Kausi Primary","Baiting",50,1
"KP1","KP1-S1","A1","UN","KP1-S1-A1-UN","Kausi Primary","Baiting",15,1
"KP1","KP1-S1","A2","CA","KP1-S1-A2-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","A2","UN","KP1-S1-A2-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S1","A3","CA","KP1-S1-A3-CA","Kausi Primary","Baiting",50,1
"KP1","KP1-S1","A3","UN","KP1-S1-A3-UN","Kausi Primary","Baiting",18,1
"KP1","KP1-S1","A4","CA","KP1-S1-A4-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","A4","UN","KP1-S1-A4-UN","Kausi Primary","Baiting",5,1
"KP1","KP1-S1","B1","CA","KP1-S1-B1-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","B1","UN","KP1-S1-B1-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S1","B2","CA","KP1-S1-B2-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","B2","UN","KP1-S1-B2-UN","Kausi Primary","Baiting",4,1
"KP1","KP1-S1","B3","CA","KP1-S1-B3-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","B3","UN","KP1-S1-B3-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S1","B4","CA","KP1-S1-B4-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","B4","UN","KP1-S1-B4-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S1","C1","CA","KP1-S1-C1-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S1","C1","UN","KP1-S1-C1-UN","Kausi Primary","Baiting",5,1
"KP1","KP1-S1","C2","CA","KP1-S1-C2-CA","Kausi Primary","Baiting",0,0
"KP1","KP1-S1","C2","UN","KP1-S1-C2-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S1","C3","CA","KP1-S1-C3-CA","Kausi Primary","Baiting",50,1
"KP1","KP1-S1","C3","UN","KP1-S1-C3-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S1","C4","CA","KP1-S1-C4-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","C4","UN","KP1-S1-C4-UN","Kausi Primary","Baiting",8,1
"KP1","KP1-S1","D1","CA","KP1-S1-D1-CA","Kausi Primary","Baiting",40,1
"KP1","KP1-S1","D1","UN","KP1-S1-D1-UN","Kausi Primary","Baiting",100,1
"KP1","KP1-S1","D2","CA","KP1-S1-D2-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","D2","UN","KP1-S1-D2-UN","Kausi Primary","Baiting",100,1
"KP1","KP1-S1","D3","CA","KP1-S1-D3-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S1","D3","UN","KP1-S1-D3-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S1","D4","CA","KP1-S1-D4-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S1","D4","UN","KP1-S1-D4-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S2","A1","CA","KP1-S2-A1-CA","Kausi Primary","Baiting",200,1
"KP1","KP1-S2","A1","UN","KP1-S2-A1-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S2","A2","CA","KP1-S2-A2-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S2","A2","UN","KP1-S2-A2-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S2","A3","CA","KP1-S2-A3-CA","Kausi Primary","Baiting",75,1
"KP1","KP1-S2","A3","UN","KP1-S2-A3-UN","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","A4","CA","KP1-S2-A4-CA","Kausi Primary","Baiting",30,1
"KP1","KP1-S2","A4","UN","KP1-S2-A4-UN","Kausi Primary","Baiting",25,1
"KP1","KP1-S2","B1","CA","KP1-S2-B1-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","B1","UN","KP1-S2-B1-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S2","B2","CA","KP1-S2-B2-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","B2","UN","KP1-S2-B2-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S2","B3","CA","KP1-S2-B3-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","B3","UN","KP1-S2-B3-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S2","B4","CA","KP1-S2-B4-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","B4","UN","KP1-S2-B4-UN","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","C1","CA","KP1-S2-C1-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","C1","UN","KP1-S2-C1-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S2","C2","CA","KP1-S2-C2-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","C2","UN","KP1-S2-C2-UN","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","C3","CA","KP1-S2-C3-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","C3","UN","KP1-S2-C3-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S2","C4","CA","KP1-S2-C4-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","C4","UN","KP1-S2-C4-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S2","D1","CA","KP1-S2-D1-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","D1","UN","KP1-S2-D1-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S2","D2","CA","KP1-S2-D2-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","D2","UN","KP1-S2-D2-UN","Kausi Primary","Baiting",0,0
"KP1","KP1-S2","D3","CA","KP1-S2-D3-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","D3","UN","KP1-S2-D3-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S2","D4","CA","KP1-S2-D4-CA","Kausi Primary","Baiting",100,1
"KP1","KP1-S2","D4","UN","KP1-S2-D4-UN","Kausi Primary","Baiting",200,1
"KP1","KP1-S3","A1","CA","KP1-S3-A1-CA","Kausi Primary","Kausi Pre-Poison Baiting",35,1
