"EntryID.nest","Code","Block","Plot","Subplot","Stratum","Forest","Treatment","Perimeter.trunk.cm.","Placement.NOTES","Date.placed","Date.checked","Start","Collectors","Weather","Occupied","Alive","Ant.appearance","AntSpCode","N.coll.","N.ants..camera.","Brood","Cavity..mm.","REPLACED","LOST.REPLACED","Notes.check","Moved.to.code","Date.final","Start.final","Collectors.final","Weather.final","Occupied.final","Ant.appearance.final","AntSpCODE.final","Alive.final","N.ants","Brood.final","Survived","Abandoned","Reoccupied","N.workers","N.soldiers","N.queens","N.larvae","N.pupae","N.eggs","LOST.FINAL","Notes.harvest","Notes.PK","Moved.to.block","Moved.to.plot","nesting.estimate","phase1.occupancy","phase2.occupancy","moved.to.forest"
1201,"NP1-S1-A1-CA","NP1","NP1-S1","A1","CA","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,TRUE,TRUE,"Camponotus sp., small black vitrea sized","CAMP 033",1,"50","YES",11,FALSE,FALSE,"","KP2-S3-A1-CA","9/21/2022","","Manfred",NA,TRUE,"Camponotus","CAMP 033",TRUE,4,"NO",TRUE,FALSE,FALSE,4,0,0,0,0,0,FALSE,"","","KP2","KP2-S3",50,1,1,"Kausi Primary"
1202,"NP1-S1-A2-CA","NP1","NP1-S1","A2","CA","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,FALSE,FALSE,"","",NA,"","",11,FALSE,FALSE,"","KP2-S3-A2-CA","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"","","KP2","KP2-S3",NA,0,0,"Kausi Primary"
1203,"NP1-S1-A3-CA","NP1","NP1-S1","A3","CA","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,TRUE,TRUE,"Tetramorium","TETR 003",1,"20","YES",10,FALSE,FALSE,"","KP2-S3-A3-CA","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"","ok","KP2","KP2-S3",20,1,0,"Kausi Primary"
1204,"NP1-S1-A4-CA","NP1","NP1-S1","A4","CA","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,TRUE,TRUE,"Colobopsis vitrea?","CAMP 001",2,"15","YES",11,FALSE,FALSE,"","KP2-S3-A4-CA","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"plug missing","ok","KP2","KP2-S3",15,1,0,"Kausi Primary"
1205,"NP1-S1-A1-UN","NP1","NP1-S1","A1","UN","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,FALSE,FALSE,"","",NA,"","",10,FALSE,FALSE,"","KP2-S3-A1-UN","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"","","KP2","KP2-S3",NA,0,0,"Kausi Primary"
1206,"NP1-S1-A2-UN","NP1","NP1-S1","A2","UN","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,FALSE,FALSE,"","",NA,"","",12,FALSE,FALSE,"","KP2-S3-A2-UN","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"","","KP2","KP2-S3",NA,0,0,"Kausi Primary"
1207,"NP1-S1-A3-UN","NP1","NP1-S1","A3","UN","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,FALSE,FALSE,"","",NA,"","",11,FALSE,FALSE,"","KP2-S3-A3-UN","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"","","KP2","KP2-S3",NA,0,0,"Kausi Primary"
1208,"NP1-S1-A4-UN","NP1","NP1-S1","A4","UN","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,FALSE,FALSE,"","",NA,"","",NA,FALSE,FALSE,"","KP2-S3-A4-UN","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"","","KP2","KP2-S3",NA,0,0,"Kausi Primary"
1209,"NP1-S1-B1-CA","NP1","NP1-S1","B1","CA","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,TRUE,TRUE,"Anonychomyrma","ANON 001",1,"20","NO",10,FALSE,FALSE,"","KP2-S3-B1-CA","9/21/2022","","Manfred",NA,FALSE,"","",FALSE,NA,"",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,"plug missing","ok","KP2","KP2-S3",20,1,0,"Kausi Primary"
1210,"NP1-S1-B2-CA","NP1","NP1-S1","B2","CA","Numba Primary","other elevation",NA,NA,"6/4/2022","8/24/2022","1/0/1900","Petr+Manfred+Ambros",NA,FALSE,FALSE,"","",NA,"","",11,FALSE,FALSE,"","KP2-S3-B2-CA","9/21/2022","","Manfred",NA,TRUE,"Technomyrmex","TECH 003",TRUE,1,"NO",FALSE,FALSE,FALSE,0,0,1,0,0,0,FALSE,"","","KP2","KP2-S3",NA,0,1,"Kausi Primary"
