"Plot","Block","Forest","Caco","elevation","slope.var","trunk_mean","Lianas.n_mean","dw.number_mean","dw.percent_mean","height_mean"
"KP1-S1","KP1","Kausi Primary",59.99,219,10.75,17.8960891565553,2.44444444444444,0.518518518518518,5.55555555555556,6.98148148148148
"KP1-S2","KP1","Kausi Primary",58.03,219,7.75,14.1329589465603,2.32,0.72,7,8.86
"KP1-S3","KP1","Kausi Primary",56.34,219,18.95,26.8403443314261,0.923076923076923,0.148148148148148,6.07142857142857,8.10714285714286
"KP2-S1","KP2","Kausi Primary",55,195,5.25,45.5310461197294,3.8,2.75,17.0833333333333,10.08
"KP2-S2","KP2","Kausi Primary",59.6,195,6.5,16.220541283449,2.08695652173913,1.04166666666667,10,6.3695652173913
"KP2-S3","KP2","Kausi Primary",59,195,3,29.4024020793472,4.66666666666667,1.48148148148148,8.25925925925926,8.2962962962963
"KP4-S1","KP4","Kausi Primary",59.6,174,2.375,19.9356302791404,1.59259259259259,0.555555555555556,8.33333333333333,8.77777777777778
"KP4-S2","KP4","Kausi Primary",59.7,174,1,23.644058345732,1.88,1.08333333333333,25.2083333333333,7.4
"KP4-S3","KP4","Kausi Primary",59.4,174,2,30.2924908351574,0.375,1.04166666666667,6.875,8.16666666666667
"KP6-S1","KP6","Kausi Primary",60.99,296,11.25,15.9644650609101,3.96153846153846,1.57692307692308,7.5,8.34615384615385
"KP6-S2","KP6","Kausi Primary",59.92,296,13.325,18.3640318952187,9.42307692307692,2.73076923076923,8.26923076923077,13.5384615384615
"KP6-S3","KP6","Kausi Primary",62.88,296,26.5,13.9766977297064,2.25,0.2,8.75,6.90909090909091
"NP1-S1","NP1","Numba Primary",56.26,876,4.85,24.2858653903188,2,2.22222222222222,11.1111111111111,8.81481481481481
"NP1-S2","NP1","Numba Primary",60.12,876,4.85,16.5231768191768,2.31818181818182,1.72727272727273,8.18181818181818,8.3695652173913
"NP1-S3","NP1","Numba Primary",60.78,876,9.05,18.0021924519499,1.77777777777778,0.407407407407407,6.2962962962963,8.77777777777778
"NP1-S4","NP1","Numba Primary",60.06,876,7.15,15.6729724911447,1.71428571428571,1.95238095238095,10.952380952381,5.69047619047619
"NP1-S5","NP1","Numba Primary",59.75,876,9.4,24.9554950768092,2.84,1.64,8.6,7.76
"NP2-S1","NP2","Numba Primary",75.8,872,21.4,17.0295789108328,3.61538461538462,1.11538461538462,7.11538461538461,5.65384615384615
"NP2-S2","NP2","Numba Primary",65.7,872,23,16.941159498004,6.48148148148148,0.407407407407407,5.74074074074074,8.2962962962963
"NP2-S3","NP2","Numba Primary",56.36,872,20.25,17.3334201658264,5.81818181818182,0.454545454545455,10.2272727272727,7.97727272727273
"NP2-S4","NP2","Numba Primary",67,872,20.5,20.4609594838941,3.20833333333333,5.125,19.5833333333333,6.6
"NP2-S5","NP2","Numba Primary",61.4,872,11.625,30.0041666628895,2.91304347826087,3.21739130434783,15.4347826086957,8.04347826086956
"NP4-S1","NP4","Numba Primary",60.64,929,10.875,24.729385295589,3.82758620689655,0.413793103448276,6.51724137931035,9.8448275862069
"NP4-S2","NP4","Numba Primary",57.04,929,6.575,23.3130160641008,6.92,0.96,6.4,8.2
"NP4-S3","NP4","Numba Primary",60.15,929,9.25,20.5133037762887,5.14814814814815,0.481481481481481,5.74074074074074,7.85185185185185
"NP4-S4","NP4","Numba Primary",64.45,929,10.425,18.849481086188,3.21739130434783,0.478260869565217,6.08695652173913,5.45652173913043
"NP4-S5","NP4","Numba Primary",59.5,929,9.675,17.4274662685625,4.46428571428571,0.964285714285714,10.5357142857143,8.58928571428571
"NP5-S1","NP5","Numba Primary",65.85,999,3,42.3900958773034,4.31034482758621,1.93103448275862,9.82758620689655,10.7931034482759
"NP5-S2","NP5","Numba Primary",59.58,999,13,21.2758327925246,1.8,0.92,6.6,10.5
"NP5-S3","NP5","Numba Primary",57.73,999,9.5,23.305819492761,2.39130434782609,1.17391304347826,11.7391304347826,7.41304347826087
"NP5-S4","NP5","Numba Primary",57.9,999,14.75,24.6462797588021,4.19047619047619,0.952380952380952,8.57142857142857,5.30952380952381
"NP5-S5","NP5","Numba Primary",59.35,999,10.25,18.8633206464568,5.69565217391304,0.608695652173913,9.1304347826087,7.23913043478261
