EntryID-bait,Code,Block,Plot,Subplot,Stratum,Forest,Season,Date-placed,Collectors,Start,Finish,Weather,Height(m),Ant character,Abundance,Collected,N coll.,AntSpCODE,NOTES PK,NOTES,Bait missing
1598,NP1-S1-A1-CA,NP1,NP1-S1,A1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,31,Pheidole,>20,TRUE,5,PHEI 007,,,FALSE
1599,NP1-S1-A2-CA,NP1,NP1-S1,A2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,14,Anonychomyrma,20 to 30,TRUE,4,PHIL 001,checked - ok,,FALSE
1600,NP1-S1-A3-CA,NP1,NP1-S1,A3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,16,Polyrhachis,2,TRUE,2,POLY 047,,,FALSE
1601,NP1-S1-A4-CA,NP1,NP1-S1,A4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,15,Anonychomyrma,>100,TRUE,8,ANON 012,checked - ok,,FALSE
1602,NP1-S1-A1-UN,NP1,NP1-S1,A1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Anonychomyrma,>200,TRUE,14,ANON 012,,,FALSE
1603,NP1-S1-A2-UN,NP1,NP1-S1,A2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Colobopsis,>50,TRUE,6,CAMP 001,,,FALSE
1604,NP1-S1-A3-UN,NP1,NP1-S1,A3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Anonychomyrma,>100,TRUE,25,ANON 012,,,FALSE
1605,NP1-S1-A4-UN,NP1,NP1-S1,A4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Anonychomyrma,20,TRUE,9,ANON 012,,,FALSE
1606,NP1-S1-B1-CA,NP1,NP1-S1,B1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,16,Anonychomyrma,4,TRUE,4,ANON 001,,,FALSE
1607,NP1-S1-B2-CA,NP1,NP1-S1,B2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,16,Anonychomyrma,10,TRUE,10,ANON 001,,,FALSE
1608,NP1-S1-B3-CA,NP1,NP1-S1,B3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,28,Crematogaster,7,TRUE,7,CREM 003,"D3 on label / no other Crem in CA samples in NP1, but this one is clear polita not CREM014, updated",,FALSE
1609,NP1-S1-B4-CA,NP1,NP1-S1,B4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,12,Paraparatrechina,1 to 5,TRUE,1,PARA 003,,,FALSE
1610,NP1-S1-B1-UN,NP1,NP1-S1,B1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Carebara,10 to 50,TRUE,6,CARE 001,,,FALSE
1611,NP1-S1-B2-UN,NP1,NP1-S1,B2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Pheidole,3,TRUE,2,PHEI 040,,,FALSE
1612,NP1-S1-B3-UN,NP1,NP1-S1,B3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Anonychomyrma,>200,TRUE,45,ANON 012,,,FALSE
1613,NP1-S1-B4-UN,NP1,NP1-S1,B4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Anonychomyrma,>200,TRUE,24,ANON 012,,,FALSE
1614,NP1-S1-C1-CA,NP1,NP1-S1,C1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,16,,,FALSE,,,,,FALSE
1615,NP1-S1-C2-CA,NP1,NP1-S1,C2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,18,Anonychomyrma,50 to 100,TRUE,5,ANON 001,checked - ok,,FALSE
1616,NP1-S1-C3-CA,NP1,NP1-S1,C3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,27,Anonychomyrma,20 to 50,TRUE,4,ANON 001,,,FALSE
1617,NP1-S1-C4-CA,NP1,NP1-S1,C4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,22,Paraparatrechina,1 to 5,TRUE,1,PARA 001,,,FALSE
1618,NP1-S1-C1-UN,NP1,NP1-S1,C1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Tetramorium,10,TRUE,4,TETR 012,,,FALSE
1619,NP1-S1-C2-UN,NP1,NP1-S1,C2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Myrmicinae,>10,TRUE,1,TETR 012,,,FALSE
1620,NP1-S1-C3-UN,NP1,NP1-S1,C3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Anonychomyrma,>100,TRUE,13,ANON 012,,,FALSE
1621,NP1-S1-C4-UN,NP1,NP1-S1,C4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Carebara,10,TRUE,3,PHEI 001,checked - ok,,FALSE
1622,NP1-S1-D1-CA,NP1,NP1-S1,D1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,28,undet.,20 to 30,TRUE,6,PHIL 001,,,FALSE
1623,NP1-S1-D2-CA,NP1,NP1-S1,D2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,27,undet.,5 to 10,TRUE,6,PHIL 001,checked - ok,,FALSE
1624,NP1-S1-D3-CA,NP1,NP1-S1,D3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,22,,,FALSE,8,,,,FALSE
1625,NP1-S1-D4-CA,NP1,NP1-S1,D4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,22,Anonychomyrma,50 to 100,TRUE,5,ANON 001,,,FALSE
1626,NP1-S1-D1-UN,NP1,NP1-S1,D1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Nylanderia,>100,TRUE,4,PARA 007,,,FALSE
1627,NP1-S1-D2-UN,NP1,NP1-S1,D2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,,,FALSE,,,,,FALSE
1628,NP1-S1-D3-UN,NP1,NP1-S1,D3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,,,FALSE,,,,,FALSE
1629,NP1-S1-D4-UN,NP1,NP1-S1,D4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,mostly sunny,1.5,Carebara,10 to 20,TRUE,3,PHEI 001,,,FALSE
1630,NP1-S2-A1-CA,NP1,NP1-S2,A1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,10,,,FALSE,,,,,FALSE
1631,NP1-S2-A2-CA,NP1,NP1-S2,A2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,22,Polyrhachis,1,FALSE,,POLY 002,,worker escaped - ID according to most common Polyrhachis species of plot,FALSE
1632,NP1-S2-A3-CA,NP1,NP1-S2,A3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,21,,,FALSE,,,,,FALSE
1633,NP1-S2-A4-CA,NP1,NP1-S2,A4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,20,Polyrhachis,10 to 20,TRUE,3,POLY 002,,,FALSE
1634,NP1-S2-A1-UN,NP1,NP1-S2,A1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Anonychomyrma,>100,TRUE,11,ANON 012,,,FALSE
1635,NP1-S2-A2-UN,NP1,NP1-S2,A2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,,,FALSE,,,,,FALSE
1636,NP1-S2-A3-UN,NP1,NP1-S2,A3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Carebara,>200,TRUE,20,CARE 007,checked - ok,,FALSE
1637,NP1-S2-A4-UN,NP1,NP1-S2,A4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Anonychomyrma,>100,TRUE,6,ANON 012,,,FALSE
1638,NP1-S2-B1-CA,NP1,NP1-S2,B1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,29,Anonychomyrma,50 to 100,TRUE,4,ANON 001,checked - ok,,FALSE
1639,NP1-S2-B2-CA,NP1,NP1-S2,B2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,23,Nylanderia,5,TRUE,1,PARA 001,,,FALSE
1640,NP1-S2-B3-CA,NP1,NP1-S2,B3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,23,Podomyrma,30 to 50,TRUE,4,PODO 001,checked - ok / clear sp. 1,,FALSE
1641,NP1-S2-B4-CA,NP1,NP1-S2,B4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,16,Nylanderia,5 to 10,TRUE,3,PARA 007,checked - ok (unusally light colored with lighter hairs but match sp. 7),,FALSE
1642,NP1-S2-B1-UN,NP1,NP1-S2,B1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,,,FALSE,,,,,FALSE
1643,NP1-S2-B2-UN,NP1,NP1-S2,B2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Pheidole,>10,TRUE,8,PHEI 004,,,FALSE
1644,NP1-S2-B3-UN,NP1,NP1-S2,B3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Nylanderia,>50,TRUE,4,PARA 007,checked - ok,,FALSE
1645,NP1-S2-B4-UN,NP1,NP1-S2,B4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Anonychomyrma,>200,TRUE,20,ANON 012,,,FALSE
1646,NP1-S2-C1-CA,NP1,NP1-S2,C1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,22,Pheidole,20 to 50,TRUE,15,PHEI 007,,,FALSE
1647,NP1-S2-C2-CA,NP1,NP1-S2,C2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,17,Anonychomyrma,50 to 100,TRUE,9,ANON 002,checked - ok,,FALSE
1648,NP1-S2-C3-CA,NP1,NP1-S2,C3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,18,Polyrhachis,5 to 10,TRUE,3,CAMP 028,,,FALSE
1649,NP1-S2-C4-CA,NP1,NP1-S2,C4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,16,,,FALSE,,,,,FALSE
1650,NP1-S2-C1-UN,NP1,NP1-S2,C1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,,,FALSE,,,,,FALSE
1651,NP1-S2-C2-UN,NP1,NP1-S2,C2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Anonychomyrma,30 to 40,TRUE,1,ANON 012,checked - ok / diff. from CA Anon species on that tree,,FALSE
1652,NP1-S2-C3-UN,NP1,NP1-S2,C3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,,,FALSE,,,,,FALSE
1653,NP1-S2-C4-UN,NP1,NP1-S2,C4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Pseudolasius,20 to 30,TRUE,4,PSEU 001,,,FALSE
1654,NP1-S2-D1-CA,NP1,NP1-S2,D1,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,24,Pheidole,10 to 20,TRUE,8,PHEI 007,,,FALSE
1655,NP1-S2-D2-CA,NP1,NP1-S2,D2,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,15,Pheidole,1 to 5,TRUE,1,PHEI 024,,,FALSE
1656,NP1-S2-D3-CA,NP1,NP1-S2,D3,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,22,,,FALSE,,,,,FALSE
1657,NP1-S2-D4-CA,NP1,NP1-S2,D4,CA,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,23,,,FALSE,,,,,FALSE
1658,NP1-S2-D1-UN,NP1,NP1-S2,D1,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Nylanderia,50 to 100,TRUE,4,PARA 007,,,FALSE
1659,NP1-S2-D2-UN,NP1,NP1-S2,D2,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,,,FALSE,,,,,FALSE
1660,NP1-S2-D3-UN,NP1,NP1-S2,D3,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Pristomyrmex,5,TRUE,2,PRIS 004,checked - ok / sep. for ref.coll. and pinned as NA0363,,FALSE
1661,NP1-S2-D4-UN,NP1,NP1-S2,D4,UN,Numba Primary,Baiting,6/4/2022,Phil et al.,1/0/1900,1/0/1900,sunny,1.5,Rhytidoponera,2,TRUE,1,RHYT 004,checked - ok,,FALSE
1662,NP1-S3-A1-CA,NP1,NP1-S3,A1,CA,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,12,,,FALSE,,,,,FALSE
1663,NP1-S3-A2-CA,NP1,NP1-S3,A2,CA,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,19,,,FALSE,,,,,FALSE
1664,NP1-S3-A3-CA,NP1,NP1-S3,A3,CA,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,16,Pheidole,10 to 50,TRUE,3,PHEI 004,,,FALSE
1665,NP1-S3-A4-CA,NP1,NP1-S3,A4,CA,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,23,,,FALSE,,,,,FALSE
1666,NP1-S3-A1-UN,NP1,NP1-S3,A1,UN,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,1.5,Paraparatrechina,11 to 50,TRUE,6,PARA 007,,,FALSE
1667,NP1-S3-A2-UN,NP1,NP1-S3,A2,UN,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,1.5,,,FALSE,,,,,FALSE
1668,NP1-S3-A3-UN,NP1,NP1-S3,A3,UN,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,1.5,Nylanderia,4,TRUE,4,PARA 007,,,FALSE
1669,NP1-S3-A4-UN,NP1,NP1-S3,A4,UN,Numba Primary,Baiting,6/4/2022,Nils+Ali,1/0/1900,1/0/1900,cloudy,1.5,Diacamma,10,TRUE,3,RHYT 004,,,FALSE
