EntryID-nest,Code,Block,Plot,Subplot,Stratum,Forest,Treatment,Perimeter-trunk(cm),Placement-NOTES,Date-placed,Date-checked,Start,Collectors,Weather,Occupied,Alive,Ant appearance,AntSpCode,N coll.,N ants (camera),Brood,Cavity (mm),REPLACED,LOST+REPLACED,Notes-check,Moved to code,Date-final,Start-final,Collectors-final,Weather-final,Occupied-final,Ant appearance-final,AntSpCODE-final,Alive-final,N ants,Brood-final,Survived,Abandoned,Reoccupied,N workers,N soldiers,N queens,N larvae,N pupae,N eggs,LOST-FINAL,Notes-harvest,Notes-PK
1201,NP1-S1-A1-CA,NP1,NP1-S1,A1,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,TRUE,TRUE,"Camponotus sp., small black vitrea sized",CAMP 033,1,50,YES,11,FALSE,FALSE,,KP2-S3-A1-CA,9/21/2022,,Manfred,,TRUE,Camponotus,CAMP 033,TRUE,4,NO,TRUE,FALSE,FALSE,4,0,0,0,0,0,FALSE,,
1202,NP1-S1-A2-CA,NP1,NP1-S1,A2,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,11,FALSE,FALSE,,KP2-S3-A2-CA,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
1203,NP1-S1-A3-CA,NP1,NP1-S1,A3,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,TRUE,TRUE,Tetramorium,TETR 003,1,20,YES,10,FALSE,FALSE,,KP2-S3-A3-CA,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,TRUE,FALSE,,,,,,,FALSE,,ok
1204,NP1-S1-A4-CA,NP1,NP1-S1,A4,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,TRUE,TRUE,Colobopsis vitrea?,CAMP 001,2,15,YES,11,FALSE,FALSE,,KP2-S3-A4-CA,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,TRUE,FALSE,,,,,,,FALSE,plug missing,ok
1205,NP1-S1-A1-UN,NP1,NP1-S1,A1,UN,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,10,FALSE,FALSE,,KP2-S3-A1-UN,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
1206,NP1-S1-A2-UN,NP1,NP1-S1,A2,UN,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,12,FALSE,FALSE,,KP2-S3-A2-UN,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
1207,NP1-S1-A3-UN,NP1,NP1-S1,A3,UN,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,11,FALSE,FALSE,,KP2-S3-A3-UN,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
1208,NP1-S1-A4-UN,NP1,NP1-S1,A4,UN,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,,FALSE,FALSE,,KP2-S3-A4-UN,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
1209,NP1-S1-B1-CA,NP1,NP1-S1,B1,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,TRUE,TRUE,Anonychomyrma,ANON 001,1,20,NO,10,FALSE,FALSE,,KP2-S3-B1-CA,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,TRUE,FALSE,,,,,,,FALSE,plug missing,ok
1210,NP1-S1-B2-CA,NP1,NP1-S1,B2,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,11,FALSE,FALSE,,KP2-S3-B2-CA,9/21/2022,,Manfred,,TRUE,Technomyrmex,TECH 003,TRUE,1,NO,FALSE,FALSE,FALSE,0,0,1,0,0,0,FALSE,,
1211,NP1-S1-B3-CA,NP1,NP1-S1,B3,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,12,FALSE,FALSE,,KP2-S3-B3-CA,9/21/2022,,Manfred,,TRUE,Crematogaster,CREM 003,TRUE,1,NO,FALSE,FALSE,FALSE,0,0,1,0,0,0,FALSE,,
1212,NP1-S1-B4-CA,NP1,NP1-S1,B4,CA,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,9,FALSE,FALSE,,KP2-S3-B4-CA,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
1213,NP1-S1-B1-UN,NP1,NP1-S1,B1,UN,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,11,FALSE,FALSE,,KP2-S3-B1-UN,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
1214,NP1-S1-B2-UN,NP1,NP1-S1,B2,UN,Numba Primary,other elevation,,,6/4/2022,8/24/2022,1/0/1900,Petr+Manfred+Ambros,,FALSE,FALSE,,,,,,11,FALSE,FALSE,,KP2-S3-B2-UN,9/21/2022,,Manfred,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,FALSE,,
