ID,Plot_code,Canopy cover (Caco),Canopy cover (modCaco),slope% N,slope% S,slope% W,slope% E,latitude_y,longitude_x,elevation,forest_type,Datalogger-PLACED,Datalogger-REMOVED,Datalogger-UN-code,Datalogger-CA-code,Datalogger-Height,Field notes,Block
1,NP1-S1,56.26,69.93,2.2,-4.5,-4.1,8.6,-5.72871,145.26387,876,Numba Primary,,,,,,,NP1
2,NP1-S2,60.12,74.05,2.2,-4.5,-4.1,8.6,-5.72871,145.26387,876,Numba Primary,6/5/2022,9/17/2022,9421381,91221512,,,NP1
3,NP1-S3,60.78,70.36,7.4,-15.5,-7.2,6.1,-5.72871,145.26387,876,Numba Primary,,,,,,,NP1
4,NP1-S4,60.06,73.5,10.2,-5.9,-6.1,6.4,-5.72871,145.26387,876,Numba Primary,,,,,,,NP1
5,NP1-S5,59.75,73.67,5.1,4.7,-9.8,18,-5.72871,145.26387,876,Numba Primary,6/23/2022,9/17/2022,94231383,91221502,22,,NP1
6,NP2-S1,75.8,85.5,32,-11,-7.6,35,-5.73002,145.26456,872,Numba Primary,,,,,,,NP2
7,NP2-S2,65.7,74,18,-30,-30,14,-5.73002,145.26456,872,Numba Primary,,,,,,,NP2
8,NP2-S3,56.36,62.9,27,-22,-4,28,-5.73002,145.26456,872,Numba Primary,,,,,,,NP2
9,NP2-S4,67,79,40,-21,-5,16,-5.73002,145.26456,872,Numba Primary,6/5/2022,9/17/2022,94231385,91221505,23,,NP2
10,NP2-S5,61.4,68.7,8,-11.5,-11,16,-5.73002,145.26456,872,Numba Primary,6/23/2022,9/17/2022,94231382,91221501,22,,NP2
11,NP4-S1,60.64,71.29,16.5,-18.7,-3.1,5.2,-5.72643,145.26358,929,Numba Primary,,,,,,,NP4
12,NP4-S2,57.04,70.12,9.2,-10.4,4.6,2.1,-5.72643,145.26358,929,Numba Primary,6/3/2022,9/17/2022,94231386,91221511,23,,NP4
13,NP4-S3,60.15,68.76,15.1,-14.9,-2.1,4.9,-5.72643,145.26358,929,Numba Primary,,,,,,,NP4
14,NP4-S4,64.45,75.86,21.2,-15.8,4.2,-0.5,-5.72643,145.26358,929,Numba Primary,6/23/2022,9/17/2022,94231392,91221504,13,,NP4
15,NP4-S5,59.5,72.1,18.1,-16.9,1.1,2.6,-5.72643,145.26358,929,Numba Primary,,,,,,,NP4
16,NP5-S1,65.85,75.99,4,0,-6,2,-5.72645,145.26676,999,Numba Primary,,,,,,,NP5
17,NP5-S2,59.58,71.98,20,-8,17,7,-5.72645,145.26676,999,Numba Primary,6/5/2022,9/17/2022,94231384,91221503,,,NP5
18,NP5-S3,57.73,66.22,0,-5,-15,18,-5.72645,145.26676,999,Numba Primary,,,,,,,NP5
19,NP5-S4,57.9,64.68,11,-25,-15,8,-5.72645,145.26676,999,Numba Primary,,,,,,,NP5
20,NP5-S5,59.35,70.19,15,-16,-8,2,-5.72645,145.26676,999,Numba Primary,6/23/2022,9/17/2022,94231391,91221506,,,NP5
21,KP1-S1,59.99,71.04,-12,-5,2,-24,-5.74262,145.33362,219,Kausi Primary,6/12/2022,9/21/2022,94231387,91221507,,,KP1
22,KP1-S2,58.03,72.35,8,-3,19,1,-5.74262,145.33362,219,Kausi Primary,,,,,,,KP1
23,KP1-S3,56.34,70.83,-1.8,30,32,-12,-5.74262,145.33362,219,Kausi Primary,,,,,,,KP1
24,KP2-S1,55,,5,2,9,-5,-5.74100,145.33481,195,Kausi Primary,6/15/2022,9/21/2022,94231388,91221508,27,canopy cover measured as average value of 5 corners,KP2
25,KP2-S2,59.6,,2,-22,2,0,-5.74100,145.33481,195,Kausi Primary,,,,,,canopy cover measured as average value of 5 corners,KP2
26,KP2-S3,59,,3,-5,1,3,-5.74100,145.33481,195,Kausi Primary,,,,,,canopy cover measured as average value of 5 corners,KP2
27,KP4-S1,59.6,,-5,2,-0.5,-2,-5.73632,145.33584,174,Kausi Primary,,,,,,canopy cover measured as average value of 5 corners,KP4
28,KP4-S2,59.7,,-2,2,0,0,-5.73632,145.33584,174,Kausi Primary,6/15/2022,9/21/2022,94231390,91221509,20,canopy cover measured as average value of 5 corners,KP4
29,KP4-S3,59.4,,1,1,-1,5,-5.73632,145.33584,174,Kausi Primary,,,,,,canopy cover measured as average value of 5 corners,KP4
30,KP6-S1,60.99,74.17,-19,10,-3,13,-5.74058,145.3295,296,Kausi Primary,6/15/2022,9/21/2022,94231389,91221510,,,KP6
31,KP6-S2,59.92,72.48,-8,18,-1.3,26,-5.74058,145.3295,296,Kausi Primary,,,,,,,KP6
32,KP6-S3,62.88,77.12,-32,11,25,-38,-5.74058,145.3295,296,Kausi Primary,,,,,,,KP6
