ID,mastercode,Code,Plot,Subplot,Stratum,Forest,Trunk perimenter (cm),tree ID,Notes-Trunk,Lianas,deadwood .,deadwood%,Bait/Bamboo Height(m)
1,NP1-S1-A1-CA,NP1-S1-A1,NP1-S1,A1,CA,Numba Primary,470,T1,,>20,7,20,31
2,NP1-S1-A2-CA,NP1-S1-A2,NP1-S1,A2,CA,Numba Primary,60,T2,,0,3,30,14
3,NP1-S1-A3-CA,NP1-S1-A3,NP1-S1,A3,CA,Numba Primary,78,T3,,1,3,20,16
4,NP1-S1-A4-CA,NP1-S1-A4,NP1-S1,A4,CA,Numba Primary,54,T4,,0,31,20,15
5,NP1-S1-A1-UN,NP1-S1-A1,NP1-S1,A1,UN,Numba Primary,37,T5,,0,2,10,1.5
6,NP1-S1-A2-UN,NP1-S1-A2,NP1-S1,A2,UN,Numba Primary,27,T6,,3,3,40,1.5
7,NP1-S1-A3-UN,NP1-S1-A3,NP1-S1,A3,UN,Numba Primary,26,T7,,0,3,30,1.5
8,NP1-S1-A4-UN,NP1-S1-A4,NP1-S1,A4,UN,Numba Primary,23,T8,,2,1,20,1.5
9,NP1-S1-B1-CA,NP1-S1-B1,NP1-S1,B1,CA,Numba Primary,73,T9,same as B2 CA,1,0,5,16
10,NP1-S1-B2-CA,NP1-S1-B2,NP1-S1,B2,CA,Numba Primary,73,T9,same as B1 CA,1,0,5,16
11,NP1-S1-B3-CA,NP1-S1-B3,NP1-S1,B3,CA,Numba Primary,462,T11,same as C2 CA,5,1,10,28
12,NP1-S1-B4-CA,NP1-S1-B4,NP1-S1,B4,CA,Numba Primary,45,T33,same as S2 A1 CA,1,0,5,12
13,NP1-S1-B1-UN,NP1-S1-B1,NP1-S1,B1,UN,Numba Primary,24,T13,,0,1,5,1.5
14,NP1-S1-B2-UN,NP1-S1-B2,NP1-S1,B2,UN,Numba Primary,20,T14,,0,0,5,1.5
15,NP1-S1-B3-UN,NP1-S1-B3,NP1-S1,B3,UN,Numba Primary,31,T15,,0,0,5,1.5
16,NP1-S1-B4-UN,NP1-S1-B4,NP1-S1,B4,UN,Numba Primary,17,T16,,0,0,5,1.5
17,NP1-S1-C1-CA,NP1-S1-C1,NP1-S1,C1,CA,Numba Primary,39,T17,,1,0,5,16
18,NP1-S1-C2-CA,NP1-S1-C2,NP1-S1,C2,CA,Numba Primary,462,T11,same as C3 CA,5,1,10,18
19,NP1-S1-C3-CA,NP1-S1-C3,NP1-S1,C3,CA,Numba Primary,462,T11,same as C2 CA,5,1,10,27
20,NP1-S1-C4-CA,NP1-S1-C4,NP1-S1,C4,CA,Numba Primary,103,T20,,7,2,10,22
21,NP1-S1-C1-UN,NP1-S1-C1,NP1-S1,C1,UN,Numba Primary,18,T21,,0,0,5,1.5
22,NP1-S1-C2-UN,NP1-S1-C2,NP1-S1,C2,UN,Numba Primary,28,T22,palm tree,1,0,5,1.5
23,NP1-S1-C3-UN,NP1-S1-C3,NP1-S1,C3,UN,Numba Primary,19,T23,,2,0,5,1.5
24,NP1-S1-C4-UN,NP1-S1-C4,NP1-S1,C4,UN,Numba Primary,44,T24,,1,2,10,1.5
25,NP1-S1-D1-CA,NP1-S1-D1,NP1-S1,D1,CA,Numba Primary,462,T11,same as C2 CA,5,1,10,28
