AntSpCode,Latin.name,Subfamily,count,occurance
ANON 001,"Anonychomyrma cf. scrutator (Smith F., 1859)",Dolichoderinae,1,in bamboo
ANON 001,"Anonychomyrma cf. scrutator (Smith F., 1859)",Dolichoderinae,52,in baits
ANON 002,"Anonychomyrma minuta (Donisthorpe, 1943)",Dolichoderinae,12,in baits
ANON 009,Anonychomyrma sp. 9,Dolichoderinae,14,in baits
ANON 012,Anonychomyrma sp. 12 aff. sp. 9,Dolichoderinae,60,in baits
ANON 014,Anonychomyrma sp. 14 aff. sp. 1,Dolichoderinae,9,in baits
ANON 015,Anonychomyrma sp. 15 aff. dimorpha,Dolichoderinae,3,in baits
CALO 001,"Calomyrmex laevissimus (Smith, 1859)",Formicinae,1,in bamboo
CALO 001,"Calomyrmex laevissimus (Smith, 1859)",Formicinae,1,in baits
CAMP 001,"Colobopsis vitrea (Smith F., 1860)",Formicinae,39,in bamboo
CAMP 001,"Colobopsis vitrea (Smith F., 1860)",Formicinae,14,in baits
CAMP 007,"Camponotus (Myrmamblys) sp. 7 aff. trajanus Forel, 1912",Formicinae,2,in bamboo
CAMP 007,"Camponotus (Myrmamblys) sp. 7 aff. trajanus Forel, 1912",Formicinae,1,in baits
CAMP 013,"Colobopsis quadriceps (Smith F., 1859)",Formicinae,1,in baits
CAMP 018,"Camponotus (Tanaemyrmex) cf. variegatus (Smith, F., 1858)",Formicinae,11,in bamboo
CAMP 022,"Camponotus anezkae Klimes & McArthur, 2014",Formicinae,1,in bamboo
CAMP 028,"Camponotus mussolinii Donisthorpe, 1936",Formicinae,1,in baits
CAMP 032,Camponotus sp. 32,Formicinae,1,in bamboo
CAMP 033,"Camponotus sp. 33 cf. flavocassis Donisthorpe, 1941",Formicinae,3,in bamboo
CAMP 034,"Camponotus albocinctus (Ashmead, 1905)",Formicinae,3,in bamboo
CARE 001,"Carebara minima (Emery, 1900)",Myrmicinae,5,in baits
CARE 002,"Carebara atoma Emery, 1900",Myrmicinae,1,in baits
CARE 003,Carebara sp. 3,Myrmicinae,1,in baits
CARE 006,"Carebara crassiuscula (Emery, 1900)",Myrmicinae,2,in baits
CARE 007,"Carebara melanocephala Donisthorpe, 1948",Myrmicinae,1,in bamboo
CARE 007,"Carebara melanocephala Donisthorpe, 1948",Myrmicinae,2,in baits
CARE 008,Carebara sp. 8 aff sp. 5,Myrmicinae,1,in baits
CREM 003,"Crematogaster polita Smith F., 1865",Myrmicinae,2,in bamboo
CREM 003,"Crematogaster polita Smith F., 1865",Myrmicinae,177,in baits
CREM 005,"Crematogaster flavitarsis Emery, 1900",Myrmicinae,3,in bamboo
CREM 005,"Crematogaster flavitarsis Emery, 1900",Myrmicinae,2,in baits
CREM 007,"Crematogaster sp. 7 aff. fritzi Emery, 1901",Myrmicinae,2,in baits
CREM 010,"Crematogaster emeryi Forel, 1907",Myrmicinae,3,in baits
CREM 013,"Crematogaster tarsata Smith, F. 1865",Myrmicinae,8,in baits
CREM 014,"Crematogaster cf. irritabilis Smith, F., 1860",Myrmicinae,5,in bamboo
CREM 014,"Crematogaster cf. irritabilis Smith, F., 1860",Myrmicinae,61,in baits
GNAM 003,"Strictoponera (=Gnamptogenys) grammodes Brown, 1985",Ectatomminae,2,in baits
HYPO 003,"Hypoponera sabrone Donisthorpe, 1941",Ponerinae,4,in baits
LEPM 001,"Leptomyrmex fragilis (Smith F., 1859)",Dolichoderinae,1,in baits
LEPM 002,"Leptomyrmex flavitarsus (Smith, F., 1859)",Dolichoderinae,1,in baits
LORD 004,"Lordomyrma furcifera   Emery, 1897",Myrmicinae,3,in baits
MERA 002,"Meranoplus astericus Donisthorpe, 1947",Myrmicinae,1,in baits
MONO 002,"Monomorium intrudens Smith F., 1894",Myrmicinae,2,in baits
MONO 008,"Chelaner gilberti (Forel, 1902)",Myrmicinae,1,in baits
ODON 005,"Odontomachus tyrannicus Smith, 1859",Ponerinae,1,in baits
OECO 001,"Oecophylla smaragdina (Fabricius, 1775)",Formicinae,30,in baits
OREC 001,"Orectognathus biroi Szavo, 1926",Myrmicinae,1,in baits
PACH 006,"Brachyponera croceicornis (Emery,1900)",Ponerinae,1,in baits
PARA 001,"Paraparatrechina pallida Donisthorpe, 1947",Formicinae,1,in bamboo
PARA 001,"Paraparatrechina pallida Donisthorpe, 1947",Formicinae,7,in baits
PARA 003,"Paraparatrechina minutula (Forel, 1901)",Formicinae,2,in bamboo
PARA 003,"Paraparatrechina minutula (Forel, 1901)",Formicinae,5,in baits
PARA 006,Paraparatrechina sp. 6,Formicinae,5,in baits
PARA 007,"Nylanderia nuggeti Donisthorpe, 1941",Formicinae,16,in baits
PARA 013,Paraparatrechina sp. 13,Formicinae,2,in baits
PHEI 001,Pheidole sp. 1,Myrmicinae,4,in baits
PHEI 003,"Pheidole fuscula Emery, 1900",Myrmicinae,11,in baits
PHEI 004,"Pheidole hospes Smith, F. 1865",Myrmicinae,1,in bamboo
PHEI 004,"Pheidole hospes Smith, F. 1865",Myrmicinae,20,in baits
PHEI 007,"Pheidole sp. 7 aff. gambogia Donisthorpe, 1948",Myrmicinae,1,in bamboo
PHEI 007,"Pheidole sp. 7 aff. gambogia Donisthorpe, 1948",Myrmicinae,12,in baits
PHEI 013,"Pheidole sp. 13 aff. tricolor,  Donisthorpe, 1949",Myrmicinae,1,in baits
PHEI 014,"Pheidole sp. 14 aff. gambogia Donisthorpe, 1948",Myrmicinae,6,in baits
PHEI 019,"Pheidole sp. 19 cf. amplificata  Viehmeyer, 1914",Myrmicinae,2,in baits
PHEI 024,"Pheidole sp. 24 aff. amber Donisthorpe, 1941",Myrmicinae,2,in baits
PHEI 028,Pheidole sp. 28,Myrmicinae,3,in baits
PHEI 035,"Pheidole tricolor Donisthorpe, 1949",Myrmicinae,1,in baits
PHEI 038,Pheidole sp. 38,Myrmicinae,3,in baits
PHEI 040,Pheidole sp. 40,Myrmicinae,1,in baits
PHEI 043,Pheidole sp. 43,Myrmicinae,1,in baits
PHEI 046,"Pheidole amber Donisthorpe, 1941",Myrmicinae,6,in baits
PHIL 001,"Philidris cf. cordata (Smith F., 1859)",Dolichoderinae,1,in bamboo
PHIL 001,"Philidris cf. cordata (Smith F., 1859)",Dolichoderinae,6,in baits
PHIL 003,Philidris sp. 3 aff. 1,Dolichoderinae,1,in baits
PLAG 002,Plagiolepis sp. 2,Formicinae,1,in baits
PODO 001,"Podomyrma laevifrons  Smith F., 1859",Myrmicinae,12,in baits
PODO 003,"Podomyrma sp. 3 aff. laevifrons  Smith F., 1859",Myrmicinae,10,in baits
PODO 011,Podomyrma sp. 11,Myrmicinae,2,in baits
PODO 013,Podomyrma sp. 13 cf. sp. 3,Myrmicinae,1,in bamboo
PODO 013,Podomyrma sp. 13 cf. sp. 3,Myrmicinae,1,in baits
POLY 001,"Polyrhachis (Myrmhopla) esuriens Emery, 1897 (sexspinosa-group)",Formicinae,2,in baits
POLY 002,"Polyrhachis (Myrma) sericata (Guérin-Méneville, 1838) (relucens-group)",Formicinae,9,in baits
