"Plot","plot.stratum","Code","trunk","tree.ID","Lianas.n","dw.number","dw.percent","height","Block","Forest","Caco","elevation","slope.var"
"KP1-S1","KP1-S1 CA","KP1-S1-A1-CA",107,"T641",0,1,5,18,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-A2-CA",89,"T642",0,1,5,22,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-A3-CA",89,"T642",0,1,5,11,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-A4-CA",93,"T644",4,2,5,19,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-A1-UN",26,"T645",3,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-A2-UN",33,"T646",2,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-A3-UN",32,"T647",3,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-A4-UN",29,"T648",3,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-B1-CA",44,"T649",2,0,5,13,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-B2-CA",64,"T650",2,1,5,11,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-B3-CA",89,"T642",0,1,5,15,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-B4-CA",93,"T644",1,0,5,13,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-B1-UN",33,"T653",4,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-B2-UN",30,"T654",0,1,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-B3-UN",39,"T655",4,1,10,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-B4-UN",42,"T656",1,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-C1-CA",44,"T649",2,0,5,14,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-C2-CA",47,"T658",5,0,5,9,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-C3-CA",62,"T659",5,0,5,11,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-C4-CA",52,"T660",1,0,5,12,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-C1-UN",46,"T661",0,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-C2-UN",23,"T662",3,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-C3-UN",50,"T660",0,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-C4-UN",35,"T664",1,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-D1-CA",26,"T665",9,0,5,19,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-D2-CA",70,"T666",3,0,5,14,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-D3-CA",59,"T667",4,1,5,9,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 CA","KP1-S1-D4-CA",330,"T684",1,0,5,9,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-D1-UN",24,"T669",0,2,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-D2-UN",42,"T670",5,3,15,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-D3-UN",20,"T671",0,1,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S1","KP1-S1 UN","KP1-S1-D4-UN",21,"T672",1,0,5,1.5,"KP1","Kausi Primary",59.99,219,9.185655
"KP1-S2","KP1-S2 CA","KP1-S2-A1-CA",43,"T673",2,2,5,16,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-A2-CA",47,"T674",8,3,5,18,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-A3-CA",59,"T667",9,2,10,13,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-A4-CA",35,"T676",2,2,10,9,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-A1-UN",25,"T677",2,1,50,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-A2-UN",20,"T678",1,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-A3-UN",44,"T679",2,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-A4-UN",35,"T676",3,1,10,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-B1-CA",25,"T681",8,0,5,19,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-B2-CA",98,"T682",3,0,5,20,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-B3-CA",59,"T683",12,0,5,15,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-B4-CA",330,"T684",3,0,5,8,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-B1-UN",25,"T681",0,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-B2-UN",22,"T686",1,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-B3-UN",59,"T683",4,1,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-B4-UN",19,"T688",1,3,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-C1-CA",61,"T689",2,2,5,13,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-C2-CA",90,"T690",0,0,5,24,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-C3-CA",60,"T691",0,0,5,16,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-C4-CA",152,"T692",3,0,5,17,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-C1-UN",19,"T693",0,2,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-C2-UN",45,"T694",1,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-C3-UN",23,"T695",0,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-C4-UN",20,"T696",0,1,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-D1-CA",47,"T697",3,0,5,18,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-D2-CA",90,"T690",2,4,10,19,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-D3-CA",79,"T699",0,1,5,17,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 CA","KP1-S2-D4-CA",152,"T692",0,5,10,16,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-D1-UN",23,"T701",4,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-D2-UN",24,"T702",0,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-D3-UN",11,"T703",2,0,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S2","KP1-S2 UN","KP1-S2-D4-UN",19,"T704",1,1,5,1.5,"KP1","Kausi Primary",58.03,219,7.185655
"KP1-S3","KP1-S3 CA","KP1-S3-A1-CA",136,"T705",0,0,5,17,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-A2-CA",284,"T706",3,0,5,18,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-A3-CA",122,"T707",1,1,10,20,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-A4-CA",95,"T708",1,0,5,12,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-A1-UN",37,"T709",0,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-A2-UN",28,"T710",1,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-A3-UN",15,"T711",1,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-A4-UN",119,"T712",0,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-B1-CA",227,"T713",3,0,15,23,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-B2-CA",83,"T714",NA,1,5,14,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-B3-CA",83,"T714",NA,1,5,24,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-B4-CA",484,"T716",1,1,10,25,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-B1-UN",44,"T717",1,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-B2-UN",34,"T718",0,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-B3-UN",30,"T719",0,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-B4-UN",20,"T720",1,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-C1-CA",45,"T721",1,0,10,16,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-C2-CA",96,"T722",2,0,5,12,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-C3-CA",46,"T723",1,0,5,16,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-C4-CA",484,"T716",1,1,10,24,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-C1-UN",34,"T725",0,0,10,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-C2-UN",28,"T726",2,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-C3-UN",21,"T727",0,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-C4-UN",36,"T728",NA,NA,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-D1-CA",108,"T729",1,0,5,17,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-D2-CA",96,"T730",2,0,5,13,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-D3-CA",484,"T716",1,1,10,38,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 CA","KP1-S3-D4-CA",484,"T716",1,1,10,16,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-D1-UN",16,"T733",0,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-D2-UN",29,"T734",1,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-D3-UN",11,"T735",1,0,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP1-S3","KP1-S3 UN","KP1-S3-D4-UN",37,"T736",0,1,5,1.5,"KP1","Kausi Primary",56.34,219,19.935655
"KP2-S1","KP2-S1 CA","KP2-S1-A1-CA",287,"T737",2,3,20,22,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 CA","KP2-S1-A2-CA",287,"T737",2,3,20,15,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 CA","KP2-S1-A3-CA",71,"T739",4,6,20,18,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 CA","KP2-S1-A4-CA",273,"T740",9,6,20,28,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 UN","KP2-S1-A1-UN",52,"T741",3,1,10,1.5,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 UN","KP2-S1-A2-UN",44,"T742",0,0,5,1.5,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 UN","KP2-S1-A3-UN",15,"T743",0,3,20,1.5,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 UN","KP2-S1-A4-UN",22,"T744",0,2,10,1.5,"KP2","Kausi Primary",55,195,5.43525
"KP2-S1","KP2-S1 CA","KP2-S1-B1-CA",100,"T745",1,0,5,20,"KP2","Kausi Primary",55,195,5.43525
